id,name,location,state,phone,hookups,accommodations,pricePerNight,horseFeePerNight,maxRigLength,stallCount,paddockCount,hasWashRack,hasDumpStation,hasWifi,hasBathhouse,pullThroughAvailable,description,verified,notes
ridb-233007,"Aspen Flats Cabin (Chugach National Forest, AK)","SEWARD, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Aspen Flats Cabin is a rustic cabin along the Upper Russian River of south-central Alaska. The rustic cabin has few amenities, but provides access to the great outdoors. There is great fishing in the adjacent Russian River and hiking and biking trails abound. Wildlife viewing is good in the area as well, though visitors should watch out for bears. 

The site can be accessed by hiking, biking, skiing and horseback. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Dolly Varden and rainbow trout can be found in the Russian River. Fishing for salmon upstream of Russian River Falls is not permitted. Click here to learn more about Alaska Department of Fish & Game regulations. Sockeye and coho salmon run the river from June to September. The rivers in Alaska are extremely cold, so be prepared with dry clothing.

A variety of trails and unexplored areas exist near the cabin. Hikers and bikers can explore varying terrain, including muskeg, meadows and high-canopied forest along the 21-mile Russian Lakes Trail. The trail is closed year-round to motorized vehicles from Russian River Campground to Upper Russian Lake Cabin; the remainder of the trail, between Cooper Lake Road and Upper Russian Lake Cabin, is open to motorized vehicles only from Dec. 1 to April 30. There is a high avalanche hazard on Russian Lakes Trail in winter; learn about avalanche safety.Facilities
The cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, table, benches, a wood stove for heat. A splitting maul and hand saw are available. An outhouse is provided. 
There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin.  Visitors should bring sleeping bags and pads, cook stove, cooking gear and food.  Water taken form the lakes or streams should be treated or boiled before consumption. All garbage and food must be packed o",,
ridb-232922,BIG SHAHEEN CABIN,"JUNEAU, AK",AK,907-586-8800,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Big Shaheen Cabin offers guests an opportunity for recreation, relaxation and a unique wilderness lodging experience in the central part of Admiralty Island in the Tongass National Forest. The remote site offers a scenic setting for hiking, fishing, canoeing and wildlife viewing, all within the vicinity of the cabin. The cabin is one of three on Hasselborg Lake, which is seven miles long and part of the Admiralty Island Canoe Route. Access to the cabin is float plane or canoe with portage. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Hasselborg Lake offers fishing for cutthroat trout, Dolly Varden and kokanee salmon. A small fishing boat with oars is provided at the cabin. Guests will need to bring their own life jackets and may choose to bring a small (10-horsepower), outboard motor. Little Shaheen cabin is close by, connected by a 100-yard trail. Other trails can be accessed by boat. From Hasselborg Lake, trails lead to Lake Guerin, Beaver Lake, Lake McKinney, and Hasselborg River. Lake Guerin and Beaver Lake are on the Admiralty Island Canoe Route, offering guests access to pristine wilderness settings.Facilities
The log cabin has two bedrooms and a living room/kitchen area. It is furnished with wooden bunks (no mattresses) and can accommodate up to eight people. The cabin is equipped with a table, benches, a cooking counter, an oil stove for heat, a broom and an outside toilet. The cabin does not have running water or electricity. Guests must bring their own food, water, sleeping bags, sleeping pads, cook stove, matches, cooking gear/utensils, light source, No.1 stove oil (estimate about 10 to 20 gallons per week), toilet paper, first aid kit and garbage bags. Water from any natural site must be filtered, boiled or chemically treated before drinking.Natural Features
At an elevation of 300 feet, the cabin is situated under a canopy of old growth forest, at the edge of scen",,
ridb-233026,"Barber Cabin (Chugach National Forest, AK)","SEWARD, AK",AK,907-288-3178,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Barber Cabin offers a remote lodging experience on the Eastern Kenai Peninsula of south-central Alaska. The rustic cabin has few amenities, but provides access to the great outdoors and a scenic mountain lake. There is great fishing in Lower Russian Lake, and hiking and biking trails abound. Wildlife viewing is good in the area as well, though visitors should watch out for bears. 

The cabin can be accessed by hiking, biking, skiing, horseback or floatplanes. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Visitors enjoy boating and rainbow trout fishing on Lower Russian Lake. A rowboat with oars is provided at the cabin. Fishing equipment is not provided and permits are required to fish in the state (click here for Alaska Department of Fish & Game regulations). The lake freezes during winter months.

A variety of trails and unexplored areas exist near the cabin. Hikers and bikers can explore varying terrain, including muskeg, meadows and high-canopied forest along the 21-mile Russian Lakes Trail, toward the Upper Russian Lake Cabin. There is a high avalanche hazard on Russian Lakes Trail in the winter (learn about avalanche safety). Snow can remain on the trail until early June. Hunting is popular along the trail and in the surrounding area.Facilities
The accessible log cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, table, benches and a wood stove for heat. A splitting maul and hand saw are available. An outhouse is also provided. 

There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gear and food. Water taken from the lake should be treated or boiled before consumption.Natural Features
The cabin is close to Cooper Landing off the Sterling Highway, in a fairly flat area on the east shore Lower Russi",,
ridb-233021,CARIBOU CREEK CABIN,"SEWARD, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Caribou Creek Cabin is a remote, rustic cabin on the Eastern Kenai Peninsula of south-central Alaska. It is near a recreational gold panning area and provides access to great opportunities for big game hunting.
The cabin can be accessed by hiking, horseback riding, biking skiing, and snowmobile. The trail is open to snowmobiles every other year. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.
Recreation
Hiking, horseback riding, mountain biking, cross country skiing and snowshoeing along Resurrection Pass Trail are popular activities. Learn more about Resurrection Pass Trail North, Resurrection Pass Trail South and Devils Creek Trail  . There are designated areas for the public to pan for gold along the trail. Active mining operations are on private claims of the creek. 
In season, visitors hunt for moose, black and brown bears, Dall sheep, mountain goats, caribou and wolves in the surrounding forest. Fishing in the area is not great.
Facilities
The log cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, a table, benches and a wood stove for heat. A splitting maul and hand saw are available. An outhouse is also provided. 
There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gear and food. Water taken from lakes or streams should be treated or boiled before consumption. All garbage and food must be packed out.
Natural Features
The log cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, a table, benches and a wood stove for heat. A splitting maul and hand saw are available. An outhouse is also provided. 

There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook st",,
ridb-233001,CRESCENT LAKE CABIN,"SEWARD,, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Elodea has been found in Crescent Lake in 2023.  Please stop aquatic hitchikers and use clean, drain, dry methods to prevent the spread of elodea.  For more information on elodea.  

Crescent Lake Cabin is a rustic cabin on beautiful Crescent Lake, providing access to great fishing, hunting, hiking and wildlife viewing opportunities.  This site can be accessed by hiking, biking, skiing, horseback, snowmobile and floatplane.  Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.
Recreation
Fishing in Crescent Lake is very popular for grayling. A rowboat with oars is available at the cabin, however, life jackets and fishing equipment are not provided. High winds could present a danger to anyone on the lake.

In season, visitors hunt for moose, black and brown bears and Dall sheep. 

Hiking, horseback riding, cross country skiing and snowshoeing are also popular activities. There is extreme avalanche danger on the Crescent Creek Trail in winter and early spring. The primitive trail around Crescent Lake crosses several avalanche chutes and should not be used in the winter.Facilities
The log cabin has bunk space for six and a maximum occupancy of eight people.  It is equipped with counter space, table, benches and a wood stove for heat.  A splitting maul and hand saw are available.  An outhouse is also provided. 
There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gearandfood. Water taken from the lakes or streams should be treated or boiled before consumption.  All garbage and food must be packed out.Natural Features
The cabin is located south of Sterling Highway on the Crescent Lake Trail. It sits at the northwest end of Crescent Lake, at an elevation of about 1,450 feet. The surrounding area is close to the tree line, affording scenic views of nearby mountains.

In addition ",,
ridb-233028,CRESCENT SADDLE CABIN,"SEWARD, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Elodea has been found in Crescent Lake in 2023.  Please stop aquatic hitchikers and use clean, drain, dry methods to prevent the spread of elodea.  For more information on elodea.  

Crescent Saddle Cabin offers a remote and secluded place to stay in the Kenai Mountains of southeastern Alaska. It is difficult to access, but rewards visitors with spectacular views of the surrounding region. Winter travel is recommended only for those with experience in the backcountry. This site can be accessed by hiking, skiing, snowmobile and floatplane.  Not recommended for horseback or bikes.  Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.
Recreation
Fishing on Crescent Lake is very popular for grayling. A rowboat with oars is available at the cabin, but life jackets and fishing equipment are not provided.

In season, visitors hunt for moose, black and brown bears and Dall sheep.

Hiking, horseback riding, cross country skiing and snowshoeing are also popular activities. There is extreme avalanche danger on the Crescent Creek Trail in winter and early spring. The primitive trail around Crescent Lake crosses several avalanche chutes and should not be used in the winter.Facilities
The cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, table, benches and a wood stove for heat. A splitting maul and hand saw are available. An outhouse is also provided. 
There is no electricity, potable water, mattresses, bedding, cooking utensils or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gear and food. Water taken from the lakes or streams should be treated or boiled before consumption.Natural Features
The cabin is located south of Sterling Highway on the Crescent Lake Trail. It overlooks Crescent Lake, at an elevation of about 1,450 feet. The cabin is set back from the lake, amid a scattered forest and lots of wil",,
ridb-253982,Campbell Tract Loop National Recreation Trail,"Anchorage, AK",AK,907-267-1246,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"The 3.4-mile Campbell Tract Loop National Recreation Trail follows the perimeter of the historic WWII Army-Air Force Campbell Tract airstrip garrison. The trail begins and ends at the Smokejumper Trailhead. The trail consists of improved and natural surface trails open to year-round, non-motorized recreational activities such as mountain biking, skijoring, cross country and skate skiing, snowshoeing, equestrian use, walking, and hiking. Trail users experience numerous opportunities to view Alaskan wildlife species, including lynx, coyotes, black and brown bears, moose, owls, and bald eagles.",,
ridb-233018,DEVILS PASS CABIN,"SEWARD, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Devil's Pass Cabin is a rustic cabin in a remote area of south-central Alaska along the popular Resurrection Pass Trail. Visitors enjoy the alpine vistas, hiking and hunting, among other outdoor recreation opportunities. 

The cabin can be accessed by hiking, biking, skiing, horseback or snowmobiling. Snowmobiles are only allowed on the Resurrection Pass trail every other year. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Devil's Pass Cabin is one of nine Forest Service cabins that lie along the 38 miles of the Resurrection Pass Trail. Visitors enjoy exploring the trail and viewing abundant wildlife found in the area. Fishing is available in a variety of nearby lakes and creeks, although each requires a hike. Fishing equipment is not provided at the cabin. 

In season, visitors hunt for moose, black and brown bears, Dall sheep, mountain goats, caribou and wolves in the surrounding forest.Facilities
The log cabin has bunk space for six and a maximum. occupancy of eight people. It is equipped with counter space, a table, and benches. The cabin has an oil stove, visitors must bring #1 stove oil to heat the cabin; a minimum of one gallon of stove oil is recommended (one gallon will burn for approximately 10 hours on a medium heat setting). An outhouse is provided outside the cabin.   There is no electricity, potable water, mattresses, bedding or cooking utensils at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gear and food.  Water taken from the lakes or streams should be treated or boiled before consumption.
Natural Features
The cabin is located at the intersection of Devil's Creek Trail and Resurrection Pass Trail, in the Kenai Mountains of south-central Alaska. It sits in an alpine valley, closely surrounded by mountains and not far from Devil's Pass Lake. 
A variety of wildlife makes its home in the surrounding forest. For more information on",,
ridb-233020,EAST CREEK CABIN,"SEWARD, AK",AK,,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
East Creek Cabin is a remote, rustic cabin on the Kenai Peninsula of south-central Alaska. It gives visitors a primitive camping experience amid spectacular scenery. In addition to miles of trails available for exploration, the cabin provides access to opportunities for big game hunting and wildlife viewing.

The cabin can be accessed by hiking, horseback riding, skiing, biking or snowmobiles. The trail is open to snowmobiles every other year. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Hiking, horseback riding, mountain biking, cross country skiing and snowshoeing along Resurrection Pass Trail are popular activities. Learn more about Resurrection Pass Trail North  and South  and Devils Creek Trail  Active mining operations are on private claims of the creek, yet there are designated areas for the public to pan for gold along the trail. In season, visitors hunt for moose, black and brown bears, Dall sheep, mountain goats, caribou and wolves in the surrounding forest. Fishing in the area is not great.
Facilities
The cabin has bunk space for six and a maximum occupancy of eight people. It is equipped with counter space, table, benches and a wood stove for heat. A splitting maul and hand saw are available. An outhouse is also provided.

There is no electricity, potable water, mattresses, bedding, cooking utensils, or cut firewood at the cabin. Visitors should bring sleeping bags and pads, a cook stove, cooking gear and food. Water taken from lakes or streams should be treated or boiled before consumption. All garbage and food must be packed out.Natural Features
The cabin is north of Sterling Highway in the Resurrection Creek Valley. It is in a fairly level area, surrounded by a spruce and birch forest with views of nearby mountains and meadows. A variety of wildlife makes its home in the area. Berries ripen mid-July through mid-September.

For more information on access and reg",,
ridb-232919,FLORENCE LAKE (EAST) CABIN,"JUNEAU, AK",AK,907-586-8800,No Hookups,Trails,0.0,0.0,0,0,0,False,False,False,False,False,"Overview
Florence Lake (East) Cabin offers guests recreation, relaxation and a unique wilderness lodging experience on the western side of Admiralty Island in the Tongass National Forest. The remote site offers a scenic setting for  fishing, boating, and wildlife viewing, all within the vicinity of the cabin.


Access to the cabin is float plane only. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.Recreation
Florence Lake offers fishing for rainbow trout, Dolly Varden and northern pike. A small fishing boat with oars is provided at the cabin, however, guests need to bring their own life jackets and possibly, a small outboard (10-horsepower) motor.
 
Hikers may enjoy traversing a primitive 1.2-mile trail at the west end of the lake. The trail leads to a saltwater beach. Beachcombers may find Japanese fishing floats, shells, bottles, and other wave-swept treasures from the open ocean.   
Facilities
The primitive, cedar log cabin (A-frame style) has bunk beds with no mattresses and a loft, to accommodate up to seven people. It is also equipped with a table, benches, an oil stove for heat and an outside toilet. Other amenities include cooking counters, shelves, cupboard space and a broom.

The cabin does not have running water or electricity. Guests must bring their own water, food, sleeping bags, sleeping pads, cook stoves, matches, cooking gear/utensils, light source, No.1 stove oil, toilet paper, first aid kit and garbage bags, among other necessities.  
Click here for more cabin details.Natural Features
The cabin sits in a thick vegetated understory, within 150 feet of a small lakeside beach that lies beneath a canopy of old-growth forest. However, much of the surrounding area is private land and has been clear cut. Dense spruce and hemlock forests, glacier-fed streams, lakes and muskeg openings define the surrounding landscape, while rocky spires rise along the island's high crest in the distance",,
